,index,순번,구,가맹점,주소,동,경도,위도
0,8,33920,동구,음주측정,대전광역시 동구 백룡로 19,자양동,127.449215927503,36.3357474657875
1,11,17663,동구,(ACE)에이스 전자저울,대전광역시 동구 동서대로1730번길 28,가양동,127.442301899399,36.3487943176213
2,13,19077,동구,(동진보석),대전광역시 동구 가양1동 318 홍명상가 C-33호,가양동,0,0
3,14,16900,동구,(본만쥬)김양경김밥.초봉김밥,대전광역시 동구 한남로 5 ,홍도동,127.427708898083,36.3512550150935
4,15,36941,동구,(사)대전광역시관광협회,대전광역시 동구 중앙로 187-1,중동,127.429990336623,36.3304821392913
5,20,39448,동구,(사)무주천마사업단,대전광역시 동구 중앙로지하 200,중동,127.431162001818,36.330664101385
6,22,39057,동구,(사)중앙시장활성화구역 상인회,대전광역시 동구 대전로779번길 8,원동,127.432864798719,36.3295733809623
7,24,22151,동구,(신)  중앙가방,대전광역시 동구 중앙로194번길 15 ,중동,127.431278905558,36.329848475541
8,35,10365,동구,(주)  다경물류,대전광역시 동구 대전로 408,가오동,127.455478691786,36.3033371725485
9,44,18986,동구,(주)  으뜸자동차,대전광역시 동구 대전로 261,대성동,36.3451828,127.419951
10,55,37939,동구,(주) 다산,대전광역시 동구 태전로 113-1 ,삼성동,127.423279514862,36.3386702067972
11,72,36021,동구,(주) 익선다다 볕,대전광역시 동구 수향2길 7 ,소제동,127.437032449152,36.3356637703585
12,87,36578,동구,(주)경주상사르노삼성자동차부품대리점,대전광역시 동구 계족로512번길 24 ,용전동,127.433830812472,36.3567380294239
13,107,14251,동구,(주)김설영패션,대전광역시 동구 흥룡로 60,가양동,127.450401038495,36.3500238148644
14,120,25586,동구,(주)다온프라자,대전광역시 동구 계족로 325,성남동,127.435315510689,36.3412721000773
15,143,38855,동구,(주)더큰더존푸드 대전보건대점,대전광역시 동구 충정로 21,가양동,127.455904248815,36.3505061602975
16,151,22554,동구,(주)두성프라즈마,대전광역시 동구 대전로1020번길 14 ,홍도동,127.419012490333,36.3466713647762
17,161,3994,동구,(주)디제이마루힐,대전광역시 동구 동서대로1725번길 44 ,용전동,127.439433186003,36.3524570847926
18,169,33746,동구,(주)리본라이팅 ,대전광역시 동구 대전로 944 ,삼성동,127.425274086017,36.3418608552162
19,170,21285,동구,(주)마당에모닥불하늘엔둥근달,대전광역시 동구 산내로 321-35 ,하소동,127.440844260968,36.2151049415157
20,176,33584,동구,(주)문화자동차운전전문학원,대전광역시 동구 용운로151번길 85 ,용운동,127.460175772613,36.3317397890922
21,182,37434,동구,(주)밝은노인요양원,대전광역시 동구 대전로 354-7,대성동,127.458635312741,36.2994986062346
22,184,26923,동구,(주)베니스,대전광역시 동구 대전로 696,인동,127.437698059801,36.322539848193
23,189,8428,동구,(주)본자리,대전광역시 동구 동서대로1683번길 84 ,용전동,127.435841454202,36.352817911755
24,215,28156,동구,(주)세대지업,대전광역시 동구 태전로 24 ,중동,127.430097044143,36.3326318714869
25,228,26058,동구,(주)시민엄선포크,대전광역시 동구 동구청로 14 ,대성동,127.459548755701,36.3000255332385
26,234,36228,동구,(주)씨앤비,대전광역시 동구 새울로 64 ,용운동,127.46256982679,36.3240921841174
27,247,21856,동구,(주)알에쓰씨  (R.S.C),대전광역시 동구 가양동 434번지 지하54층,가양동,127.443207250753,36.346238209684
28,259,38689,동구,(주)에스알산업,대전광역시 동구 우암로286,가양동,127.447403917814,36.3459645654336
29,266,34717,동구,(주)에이치엔(HN)하나마트,대전광역시 동구 대전로 417,가오동,127.454168263795,36.3037019987136
30,267,23212,동구,(주)에이프테크놀로지,대전광역시 동구 동서대로 1503,삼성동,127.420337981258,36.3403429868296
31,268,26469,동구,(주)에이플러스경호,대전광역시 동구 동대전로 89,대동,127.443412938116,36.3305060917571
32,280,31994,동구,(주)여이레,대전광역시 동구 중앙로 지하 218,중동,127.433005290993,36.3313335000024
