순번,구,가맹점,주소,동
22039,서구,,"대전광역시 서구 둔산중로 19, 샤크존B141호. (탄방동)",탄방동
32133,서구,,"대전광역시 서구 도학1길 8, 101호 (도마동)",도마동
37701,중구,,"대전광역시 중구 대종로 509, 103호 (선화동,소청1번가)",선화동
18430,유성구,,대전광역시 유성구 대덕대로 950 (화암동),화암동
30424,중구,청석골칡냉면,"대전광역시 중구 보문산로141번길 39, 1층 (산성동)",산성동
29221,서구,토속돌구이,대전광역시 서구 대신1길 23 (도마동),도마동
31840,서구,퍼스트클래스둔산수학 교습소,"대전광역시 서구 둔산중로 54, 210호 (둔산동,센티온빌딩)",둔산동
13461,서구,Repit (레삐)헤어,대전광역시 서구 도솔로335번길 4 (괴정동),괴정동
31572,서구,조이헤어,"대전광역시 서구 계룡로 615번길 32, 1층 (탄방동)",탄방동
59,대덕구,포레스트,"대전광역시 대덕구 동산초교로 72, 1층 (오정동)",오정동
13627,서구,헤어,"대전광역시 서구 갈마로 200, 1층 102호 (내동)",내동
25544,서구,샵 그냥 광택집,"대전광역시 서구 계룡로 671, 1층 (용문동)",용문동
33920,동구,음주측정,"대전광역시 동구 백룡로 19, 101호 (자양동)",자양동
9592,서구,초이스,"대전광역시 서구 도마로 60, 1층 7호 (도마동,삼정하이츠)",도마동
31516,서구,(A+)베이비맘케어,"대전광역시 서구 둔산중로 138, 1418호 (둔산동,주은오피스텔)",둔산동
17663,동구,(ACE)에이스 전자저울,"대전광역시 동구 동서대로1730번길 28, 101호 (가양동)",가양동
25718,대덕구,(대복)자담순두부와 삼겹살,대전광역시 대덕구 중리남로 26 (중리동),중리동
19077,동구,(동진보석),대전광역시 동구 가양1동 318 홍명상가 C-33호,가양동
16900,동구,(본만쥬)김양경김밥.초봉김밥,대전광역시 동구 한남로 5 (홍도동),홍도동
36941,동구,(사)대전광역시관광협회,"대전광역시 동구 중앙로 187-1, 1~4층 (중동)",중동
17717,중구,(사)대전광역시용달화물자동차,대전광역시 중구 선화서로 56 (선화동),선화동
19369,유성구,(사)대전광역시장애인부모회,"대전광역시 유성구 대덕대로 755, 1층 (화암동,한국통신선로기술연구소)",화암동
19246,유성구,(사)대전기독교청소년협회,"대전광역시 유성구 대학로 28,1307호(봉명동,홍인오피스텔)",봉명동
39764,유성구,(사)대전하나스포츠클럽,"대전광역시 유성구 월드컵대로32, 3층 (노은동,대전월드컵경기장)",노은동
39448,동구,(사)무주천마사업단,"대전광역시 동구 중앙로지하 200, A23호 (중동)",중동
37508,유성구,(사)유성스포츠클럽,대전광역시 유성구 유성대로 978 (신성동),신성동
39057,동구,(사)중앙시장활성화구역 상인회,"대전광역시 동구 대전로779번길 8, (원동)",원동
13283,유성구,(사)한국드론산업협회대전지회,"대전광역시 유성구 신성로84번길 63, 지하호 (신성동)",신성동
22151,동구,(신)  중앙가방,대전광역시 동구 중앙로194번길 15 (중동),중동
2280,중구,(신)천북순대,"대전광역시 중구 충무로 158, 1층 (문창동)",문창동
22351,중구,(신지하)베스트이동통신,대전광역시 중구 은행동 중앙로지하상가 A 나-34,은행동
34997,유성구,(의)밝은마음의료재단 대전광역시,대전광역시 유성구 유성대로 1422 (방현동),방현동
2263,중구,(의)영훈의료재단,대전광역시 중구 목중로 29 (목동),목동
15880,중구,(자)유한가스,"대전광역시 중구 중촌동 198-1번지 198-2 ,199-1,2",중촌동
17779,중구,(자)한밭관광여행사,"대전광역시 중구 중앙로 28, 306호 (문화동,센트럴스타클래스)",문화동
26,서구,(재)대전고암미술문화재단,"대전광역시 서구 둔산대로 157,1층(만년동)",만년동
6934,유성구,(재)아름다운가게  대전지족점,"대전광역시 유성구 지족로 355 (지족동,월드프라자)",지족동
11145,대덕구,(주)  까뮤  (Gamyu),대전광역시 대덕구 덕암로213번길 36 (덕암동),덕암동
9476,유성구,(주)  나르시피아,"대전광역시 유성구 유성대로751번길 6, 302호 (장대동)",장대동
10365,동구,(주)  다경물류,"대전광역시 동구 대전로 408,(가오동)",가오동
19913,대덕구,(주)  대성청과130,"대전광역시 대덕구 한밭대로 987 (오정동,농수산물도매시장)",오정동
39087,중구,(주)  더밤부,"대전광역시 중구 성산로14번길 36, (안영동)",안영동
28011,유성구,(주)  더월대전점,"대전광역시 유성구 북유성대로 219, 101호 (지족동,인앤인주상복합)",지족동
15087,서구,(주)  도안홈마트,대전광역시 서구 도안북로93번길 26-21 (도안동),도안동
8460,서구,(주)  로얄로드,"대전광역시 서구 문예로 39, 4층 (둔산동)",둔산동
37053,서구,(주)  리빙인터내셔널,"대전광역시 서구 대덕대로 319, 219호 (월평동)",월평동
18170,서구,(주)  바다수산,대전광역시 서구 계룡로 338 (갈마동),갈마동
24066,유성구,(주)  수자타,"대전광역시 유성구 관평2로 20, 2층 전체 (관평동)",관평동
18986,동구,(주)  으뜸자동차,"대전광역시 동구 대전로 261,외(대성동)",대성동
14322,중구,(주)  은행스포츠,"대전광역시 중구 대종로480번길 54,(은행동)",은행동
16232,유성구,(주)  일당,"대전광역시 유성구 계룡로59번길 36,(봉명동)",봉명동
26405,대덕구,(주)  제이원모터스,대전광역시 대덕구 대화로132번안길 80 (대화동),대화동
35320,유성구,(주)  쪽빛하늘,대전광역시 유성구 갑동로15번길 2-15 (갑동),갑동
7162,서구,(주)  태극안경,"대전광역시 서구 계백로 1445, 2층 (도마동)",도마동
24462,유성구,(주)  팀어학원,"대전광역시 유성구 테크노4로 115,6층(관평동)",관평동
14522,유성구,(주)  퍼스트오일,"대전광역시 유성구 현충원로 213,(갑동)",갑동
25367,서구,(주)  한국평생교육원,"대전광역시 서구 계룡로 624,6층(용문동,동아빌딩)",용문동
16752,대덕구,(주)  휴먼월드,"대전광역시 대덕구 대전로1088번길 29,(오정동)",오정동
24069,서구,(주) 그린섬인텔리젠스,"대전광역시 서구 문정로 78, 5층 (탄방동,정우빌딩)",탄방동
37939,동구,(주) 다산,대전광역시 동구 태전로 113-1 (삼성동),삼성동
25401,서구,(주) 대명모바일,"대전광역시 서구 계룡로264번길 4, 204호 (월평동,. 월평타운상가)",월평동
38279,서구,(주) 대전공조,대전광역시 서구 도솔로519번길 50 (용문동),용문동
13840,유성구,(주) 델라,"대전광역시 유성구 학하남로19번길 28-12, 1층 (계산동,나은빌)",계산동
36463,유성구,(주) 리케리케,"대전광역시 유성구 문화원로 98, 지상1,2,3층 (봉명동)",봉명동
33540,서구,(주) 마이스토리 대전센터,"대전광역시 서구 둔산남로 108, 3층 (탄방동)",탄방동
23238,유성구,(주) 맛뜨랑,대전광역시 유성구 노은동로75번길 48 (노은동),노은동
13583,중구,(주) 미성테크,"대전광역시 중구 대종로 340-1, 2층 (부사동)",부사동
17824,중구,(주) 서밋할인마트,"대전광역시 중구 당디로6번길 76, 지하1호,2호,3호,4호,5호,6호,7호,8호,9호,10호,11호 (문화동)",문화동
33868,대덕구,(주) 신우전자 중부영업소,"대전광역시 대덕구 대화로 160, 16동 108호 (대화동,산업용재유통상가)",대화동
31800,대덕구,(주) 알에스퀸,"대전광역시 대덕구 비래서로9번길 59, 2층 (비래동)",비래동
18911,중구,(주) 언리튼,"대전광역시 중구 대흥로10번길 35, 1층 (대사동)",대사동
37197,서구,(주) 에이원탑시큐리티,대전광역시 서구 대덕대로168번길 74 (갈마동),갈마동
26294,대덕구,(주) 에프엠씨푸드,대전광역시 대덕구 아리랑로197번길 46 (법동),법동
35415,유성구,(주) 오즈테크,"대전광역시 유성구 노은동로79번길 25, 302호 (노은동)",노은동
38414,서구,(주) 월드클래스에듀,"대전광역시 서구 둔산대로117번길 95, 3층 에프동 (만년동)",만년동
31718,유성구,(주) 이레디자인,"대전광역시 유성구 은구비서로 38, 204호 (지족동)",지족동
36021,동구,(주) 익선다다 볕,대전광역시 동구 수향2길 7 (소제동),소제동
22603,중구,(주) 인투홈,대전광역시 중구 대종로 282 (문창동),문창동
14921,서구,(주) 자이언트전산,대전광역시 서구 도산로403번길 51 (탄방동),탄방동
39628,유성구,(주) 정일수산,"대전광역시 유성구 학하서로10번길 9, 1층 (계산동)",계산동
35988,서구,(주) 제이라파,"대전광역시 서구 도안북로 88, 창업진흥센터 314호 (도안동,목원대학교)",도안동
39212,유성구,(주) 제페코,"대전광역시 유성구 유성대로719번길 11, (장대동) 2층",장대동
16165,중구,(주) 지엠피대전,"대전광역시 중구 대종로 648, 1층 (중촌동)",중촌동
39193,중구,(주) 집사의반격,"대전광역시 중구 산서로 408, 1층 (목달동)",목달동
6983,서구,(주) 티디지 (TDG CO. LTD),"대전광역시 서구 둔산서로 63, 3층 (둔산동,농협대전중앙지점)",둔산동
